ds,y
15-Feb-17,1196
16-Feb-17,1400
17-Feb-17,1784
18-Feb-17,1461
19-Feb-17,1260
20-Feb-17,1965
21-Feb-17,2308
22-Feb-17,3309
23-Feb-17,3981
24-Feb-17,3930
25-Feb-17,1624
26-Feb-17,1489
27-Feb-17,3698
28-Feb-17,5231
1-Mar-17,4321
2-Mar-17,4091
3-Mar-17,3963
4-Mar-17,1425
5-Mar-17,1230
6-Mar-17,3119
7-Mar-17,3357
8-Mar-17,2860
9-Mar-17,2740
10-Mar-17,2986
11-Mar-17,1143
12-Mar-17,931
13-Mar-17,2959
14-Mar-17,2147
15-Mar-17,2707
16-Mar-17,2471
17-Mar-17,2174
18-Mar-17,846
19-Mar-17,853
20-Mar-17,2066
21-Mar-17,1920
22-Mar-17,1555
23-Mar-17,1603
24-Mar-17,1611
25-Mar-17,836
26-Mar-17,719
27-Mar-17,1681
28-Mar-17,1514
29-Mar-17,1321
30-Mar-17,1477
31-Mar-17,1602
1-Apr-17,838
2-Apr-17,771
3-Apr-17,1629
4-Apr-17,1520
5-Apr-17,1536
6-Apr-17,1638
7-Apr-17,1437
8-Apr-17,804
9-Apr-17,742
10-Apr-17,1566
11-Apr-17,1402
12-Apr-17,1421
13-Apr-17,1413
14-Apr-17,1177
15-Apr-17,786
16-Apr-17,455
17-Apr-17,1559
18-Apr-17,1545
19-Apr-17,1373
20-Apr-17,1400
21-Apr-17,1487
22-Apr-17,755
23-Apr-17,642
24-Apr-17,1554
25-Apr-17,1258
26-Apr-17,1369
27-Apr-17,1593
28-Apr-17,1984
29-Apr-17,1206
30-Apr-17,1082
1-May-17,2378
2-May-17,1903
3-May-17,2469
4-May-17,2086
5-May-17,2061
6-May-17,885
7-May-17,731
8-May-17,2953
9-May-17,2196
10-May-17,2373
11-May-17,2376
12-May-17,2116
13-May-17,1449
14-May-17,1220
15-May-17,2831
16-May-17,2807
17-May-17,2793
18-May-17,2444
19-May-17,3190
20-May-17,1112
21-May-17,1090
22-May-17,2725
23-May-17,2516
24-May-17,2822
25-May-17,2372
26-May-17,2766
27-May-17,954
28-May-17,854
29-May-17,900
30-May-17,2600
31-May-17,2167
1-Jun-17,1927
2-Jun-17,2197
3-Jun-17,1009
4-Jun-17,875
5-Jun-17,2142
6-Jun-17,1667
7-Jun-17,1909
8-Jun-17,1694
9-Jun-17,1684
10-Jun-17,798
11-Jun-17,801
12-Jun-17,1965
13-Jun-17,1580
14-Jun-17,1467
15-Jun-17,1753
16-Jun-17,1684
17-Jun-17,803
18-Jun-17,708
19-Jun-17,1618
20-Jun-17,1749
21-Jun-17,1556
22-Jun-17,1548
23-Jun-17,1708
24-Jun-17,874
25-Jun-17,680
26-Jun-17,1666
27-Jun-17,1532
28-Jun-17,1522
29-Jun-17,1698
30-Jun-17,1757
1-Jul-17,918
2-Jul-17,779
3-Jul-17,1130
4-Jul-17,540
5-Jul-17,1766
6-Jul-17,1764
7-Jul-17,1633
8-Jul-17,934
9-Jul-17,728
10-Jul-17,1699
11-Jul-17,1430
12-Jul-17,1599
13-Jul-17,1591
14-Jul-17,1759
15-Jul-17,855
16-Jul-17,838
17-Jul-17,1703
18-Jul-17,1451
19-Jul-17,1571
20-Jul-17,1625
21-Jul-17,1812
22-Jul-17,824
23-Jul-17,714
24-Jul-17,1566
25-Jul-17,1481
26-Jul-17,1413
27-Jul-17,1337
28-Jul-17,1546
29-Jul-17,806
30-Jul-17,802
31-Jul-17,1749
1-Aug-17,1654
2-Aug-17,1492
3-Aug-17,1427
4-Aug-17,1511
5-Aug-17,776
6-Aug-17,682
7-Aug-17,1661
8-Aug-17,1309
9-Aug-17,1507
10-Aug-17,1494
11-Aug-17,1427
12-Aug-17,829
13-Aug-17,742
14-Aug-17,1667
15-Aug-17,1531
16-Aug-17,1491
17-Aug-17,1508
18-Aug-17,1555
19-Aug-17,846
20-Aug-17,783
21-Aug-17,1361
22-Aug-17,1341
23-Aug-17,1386
24-Aug-17,1340
25-Aug-17,1369
26-Aug-17,783
27-Aug-17,690
28-Aug-17,1524
29-Aug-17,1362
30-Aug-17,1401
31-Aug-17,1760
1-Sep-17,2044
2-Sep-17,1277
3-Sep-17,1038
4-Sep-17,1051
5-Sep-17,2137
6-Sep-17,2422
7-Sep-17,2733
8-Sep-17,1566
9-Sep-17,515
10-Sep-17,230
11-Sep-17,386
12-Sep-17,1387
13-Sep-17,1829
14-Sep-17,2179
15-Sep-17,1839
16-Sep-17,971
17-Sep-17,800
18-Sep-17,1823
19-Sep-17,2013
20-Sep-17,2201
21-Sep-17,2457
22-Sep-17,1634
23-Sep-17,845
24-Sep-17,708
25-Sep-17,1940
26-Sep-17,1777
27-Sep-17,1689
28-Sep-17,1454
29-Sep-17,1716
30-Sep-17,936
1-Oct-17,754
2-Oct-17,1867
3-Oct-17,1576
4-Oct-17,1499
5-Oct-17,1534
6-Oct-17,1431
7-Oct-17,756
8-Oct-17,649
9-Oct-17,1460
10-Oct-17,1372
11-Oct-17,1352
12-Oct-17,1477
13-Oct-17,1622
14-Oct-17,754
15-Oct-17,638
16-Oct-17,1487
17-Oct-17,1493
18-Oct-17,1437
19-Oct-17,1373
20-Oct-17,1400
21-Oct-17,788
22-Oct-17,575
23-Oct-17,1404
24-Oct-17,1443
25-Oct-17,1237
26-Oct-17,1190
27-Oct-17,1316
28-Oct-17,741
29-Oct-17,688
30-Oct-17,1461
31-Oct-17,1297
1-Nov-17,1389
2-Nov-17,1345
3-Nov-17,1391
4-Nov-17,782
5-Nov-17,632
6-Nov-17,1437
7-Nov-17,1476
8-Nov-17,1284
9-Nov-17,1369
10-Nov-17,1209
11-Nov-17,660
12-Nov-17,609
13-Nov-17,1380
14-Nov-17,1280
15-Nov-17,1310
16-Nov-17,1212
17-Nov-17,1287
18-Nov-17,624
19-Nov-17,541
20-Nov-17,1362
21-Nov-17,1238
22-Nov-17,1114
23-Nov-17,291
24-Nov-17,655
25-Nov-17,576
26-Nov-17,500
27-Nov-17,1342
28-Nov-17,1183
29-Nov-17,1073
30-Nov-17,1336
1-Dec-17,1531
2-Dec-17,575
3-Dec-17,504
4-Dec-17,1402
5-Dec-17,1169
6-Dec-17,1156
7-Dec-17,1348
8-Dec-17,1214
9-Dec-17,656
10-Dec-17,535
11-Dec-17,1419
12-Dec-17,1237
13-Dec-17,1321
14-Dec-17,1243
15-Dec-17,1420
16-Dec-17,713
17-Dec-17,609
18-Dec-17,1501
19-Dec-17,1520
20-Dec-17,1341
21-Dec-17,1365
22-Dec-17,1270
23-Dec-17,629
24-Dec-17,425
25-Dec-17,317
26-Dec-17,1077
27-Dec-17,1106
28-Dec-17,1102
29-Dec-17,1109
30-Dec-17,569
31-Dec-17,346
1-Jan-18,413
2-Jan-18,1125
3-Jan-18,1286
4-Jan-18,1285
5-Jan-18,1205
6-Jan-18,612
7-Jan-18,704
8-Jan-18,1188
9-Jan-18,1081
10-Jan-18,1109
11-Jan-18,1060
12-Jan-18,1089
13-Jan-18,570
14-Jan-18,541
15-Jan-18,760
16-Jan-18,1161
17-Jan-18,1113
18-Jan-18,1094
19-Jan-18,1089
20-Jan-18,539
21-Jan-18,539
22-Jan-18,1128
23-Jan-18,1014
24-Jan-18,975
25-Jan-18,943
26-Jan-18,1024
27-Jan-18,571
28-Jan-18,541
29-Jan-18,1031
30-Jan-18,967
31-Jan-18,1008
1-Feb-18,1067
2-Feb-18,1029
3-Feb-18,588
4-Feb-18,523
5-Feb-18,1143
6-Feb-18,1176
7-Feb-18,1429
8-Feb-18,1594
9-Feb-18,1898
10-Feb-18,1592
11-Feb-18,1483
12-Feb-18,2554
13-Feb-18,2431
14-Feb-18,2744
15-Feb-18,2893
16-Feb-18,2571
17-Feb-18,1215
18-Feb-18,1004
19-Feb-18,2498
20-Feb-18,2868
21-Feb-18,3725
22-Feb-18,2954
23-Feb-18,2877
24-Feb-18,1644
25-Feb-18,953
26-Feb-18,3654
27-Feb-18,3834
28-Feb-18,3403
1-Mar-18,2507
2-Mar-18,1967
3-Mar-18,932
4-Mar-18,901
5-Mar-18,1707
6-Mar-18,1858
7-Mar-18,1832
8-Mar-18,2052
9-Mar-18,1730
10-Mar-18,951
11-Mar-18,783
12-Mar-18,1580
13-Mar-18,1670
14-Mar-18,1716
15-Mar-18,1825
16-Mar-18,1586
17-Mar-18,814
18-Mar-18,688
19-Mar-18,1606
20-Mar-18,1363
21-Mar-18,1479
22-Mar-18,1353
23-Mar-18,1354
24-Mar-18,734
25-Mar-18,628
26-Mar-18,1441
27-Mar-18,1489
28-Mar-18,1448
29-Mar-18,1225
30-Mar-18,1303
31-Mar-18,735
1-Apr-18,427
2-Apr-18,1534
3-Apr-18,1441
4-Apr-18,1433
5-Apr-18,1214
6-Apr-18,1303
7-Apr-18,654
8-Apr-18,656
9-Apr-18,1352
10-Apr-18,1353
11-Apr-18,1249
12-Apr-18,1234
13-Apr-18,1244
14-Apr-18,737
15-Apr-18,688
16-Apr-18,1289
17-Apr-18,1172
18-Apr-18,1343
19-Apr-18,1284
20-Apr-18,1452
21-Apr-18,942
22-Apr-18,858
23-Apr-18,1680
24-Apr-18,1751
25-Apr-18,1784
26-Apr-18,1565
27-Apr-18,2172
28-Apr-18,793
29-Apr-18,747
30-Apr-18,2512
1-May-18,1837
2-May-18,1711
3-May-18,1622
4-May-18,1585
5-May-18,771
6-May-18,817
7-May-18,1806
8-May-18,1809
9-May-18,1845
10-May-18,1399
11-May-18,1406
12-May-18,744
13-May-18,567
14-May-18,1507
15-May-18,1494
16-May-18,1409
17-May-18,1312
18-May-18,1362
19-May-18,678
20-May-18,722
21-May-18,1530
22-May-18,1326
23-May-18,1279
24-May-18,1218
25-May-18,1457
26-May-18,800
27-May-18,539
28-May-18,624
29-May-18,1416
30-May-18,1417
31-May-18,1578
1-Jun-18,1485
2-Jun-18,782
3-Jun-18,707
4-Jun-18,1508
5-Jun-18,1399
6-Jun-18,1253
7-Jun-18,1346
8-Jun-18,1339
9-Jun-18,655
10-Jun-18,682
11-Jun-18,1464
12-Jun-18,1348
13-Jun-18,1237
14-Jun-18,1266
15-Jun-18,1385
16-Jun-18,727
17-Jun-18,563
18-Jun-18,1370
19-Jun-18,1346
20-Jun-18,1237
21-Jun-18,1357
22-Jun-18,1413
23-Jun-18,719
24-Jun-18,683
25-Jun-18,1466
26-Jun-18,1458
27-Jun-18,1466
28-Jun-18,1444
29-Jun-18,1599
30-Jun-18,738
1-Jul-18,678
2-Jul-18,1549
3-Jul-18,1388
4-Jul-18,451
5-Jul-18,1378
6-Jul-18,1367
7-Jul-18,672
8-Jul-18,621
9-Jul-18,1454
10-Jul-18,1363
11-Jul-18,1274
12-Jul-18,1341
13-Jul-18,1436
14-Jul-18,792
15-Jul-18,608
16-Jul-18,1770
17-Jul-18,2085
18-Jul-18,2660
19-Jul-18,2429
20-Jul-18,2477
21-Jul-18,1232
22-Jul-18,1137
23-Jul-18,2321
24-Jul-18,3080
25-Jul-18,2910
26-Jul-18,2422
27-Jul-18,2412
28-Jul-18,992
29-Jul-18,831
30-Jul-18,2936
31-Jul-18,2488
1-Aug-18,1919
2-Aug-18,2043
3-Aug-18,2175
4-Aug-18,908
5-Aug-18,751
6-Aug-18,1837
7-Aug-18,1680
8-Aug-18,1661
9-Aug-18,1544
10-Aug-18,1762
11-Aug-18,813
12-Aug-18,809
13-Aug-18,1589
14-Aug-18,1711
15-Aug-18,1475
16-Aug-18,1546
17-Aug-18,1457
18-Aug-18,828
19-Aug-18,821
20-Aug-18,1607
21-Aug-18,1393
